drugName,condition,review,rating,date,class
Bupropion,depression,"""so my journey has been two years with depression/anxiety.  had two bouts prior.... the first coming out of nowhere around age 40.  the two times i went on a paxil and in 30 days i was normal.  you can only imagine my disbelief when this third bout trying lexapro, effexor and paxil lead to horrible fatigue within a week of each.  i just couldn't tolerate the fatigue and there was no relief.  incredible.  went on 100 mg of wellbutrin despite it increasing my anxiety... requiring lorazepam.   for past year i couldn't tolerate more than 100 mg of w. w/o terrible fatigue.   a year later i just got up to 150 mg without fatigue... no relief of depression yet.  also in therapy.  wellbutrin is better than nothing i guess.  not sure what's next.""",5,"September 4, 2016",0
Zoloft,depression,"""i was on this medication for about 2 months and it was an awful experience. i started out on 25mg and i couldn't really feel any emotions, so they increased the dosage to 50mg. i started feeling worse, so i was told to increase the dosage again. once i got to 75mg, i started becoming angry, even more anxious than i was before, i had an out-of-body experience, and i was becoming incredibly impulsive. after trying another anti-depressant and failing, it is believed that i have a mood disorder and was placed on mood stabilizers.""",2,"June 28, 2017",-1
BuSpar,anxiety,"""i'm a 32 year old male and i've been taking buspar for about 10 months. at first it did nothing but make my anxiety worse. i would wake up with to full blown panic attacks and have the worse nightmares ever. however i'm now taking 40mg of citaloptam a day mixed with the buspar 15mg and 1mg of xanax twice a day. and zanax! i have  insomnia mixed with with deep anxiety issues. the problem that i have is the buspar makes me so fat! i'm literally considering stop taking it and just see of the other meds can help. buspar alone is no  substitution for anxiety drug and wouldn't recommend it...""",3,"December 31, 2016",-1
Tylenol with Codeine #3,pain,"""after i was discharged from intensive care, i reported no pain, and no pain killers were given previously. after given tylenol 3 in liquid form, and i started to experience pain with an extra large headache. the pain was in my eyes, temples, and ears not to mention throat. i got cold and my legs started to shake. then i experienced more swelling in my throat than before, but i thought that this was post op normal. after the second dose i started to panic quietly inside and i couldn't get liquid advil out of my mind! the nurse only had tablets, so my husband arrived and rushed me to the pharmacy to get some chldrens liquid advil, and 30 minutes later i was pain free! i'm not touching my prescription for tylenol 3 and will tell the doc asap.""",1,"April 18, 2017",-1
Sertraline,depression,"""i've had depression on and off for years but more recently have felt worse. having tried various antidepressants my dr prescribed 50mg of sertraline. i started it a few days ago and have noticed that i have no appetite. i sleep for only a few hours a night. but it's early days..""",3,"April 28, 2017",-1
Adapalene / benzoyl peroxide,acne,"""i always had clear skin but then started getting breakouts on my cheeks and thought epiduo would help. two weeks into it my forehead began to breakout horribly, and my cheeks remained the same. i stayed on it for 2 months and my forehead got continually worse and when on epiduo breakouts would not heal and left red scarring. a week ago i gave up and quit epiduo. my forehead is clear and the marks are fading faster. my cheeks are still the same but i can live with my skin again. my skin hated epiduo and it only gave me more acne. if you can live with skin as is do not go on epiduo. it may eventually get better but you will go through hell first.""",2,"January 12, 2016",-1
Venlafaxine,depression,"""horrible side effects! i tried ciprelex (escitalopram), but made me so tried all the time. my doc switched me to pristiq (desvenlafaxine), i had 0 side effects, but i couldn't afford the $105 price each month without a generic brand or drug plan. doc switched me to effexor claiming it was ""very similar to pristiq, and available in a generic"" however i had the worst insomnia at night. trouble falling and staying asleep at night- would wake up every hour with mind racing. dry mouth throughout the day no matter how much water i drank. also, very fidgety feet and legs while sitting or laying in bed. i was exhausted all day everyday, yet continued waking up several times throughout the night. went back to my doc, and switched back to pristiq.""",1,"June 15, 2016",-1
Ethinyl estradiol / norethindrone,birth control,"""i went on this pill when i got into my first serious relationship.  i've tried other birth control pills before and had to go off of them because of weight gain. when i finally got back on the pills, i thought it was great because my periods were always regular, i had no weight gain, and my skin was flawless.  but, after being on it for 6 months now i'm realizing that this pill is the reason for my poor mental health.  i went from being happy and satisfied with my life, to being an actual crazy person.  i started lashing out at the people i loved as the months progressed. i would have the worst mood swings of my life.  i would be happy and laughing, and the next minute i was in tears.  it turned me into an angry person that i didn't know.""",3,"September 26, 2016",-1
Microgestin Fe 1 / 20,birth control,"""i switched to fe 1/20 from sprintec birth control and it's been nothing but hell. i don't know if it's my body that's reacting so negatively or what but i hate this birth control. it hasn't even been a full month and i'm already on the urge of losing my mind. i've been crying almost everyday, snapping at people feeling depressed and hated..it's unreal. i've never been so sad in my life. my headache also gotten much worse than before. the only positive is it made my boobs bigger and period lighter.""",2,"October 21, 2015",-1
Zoloft,depression,"""depression and anxiety hit me like a brick wall about six months ago. i have always had a bit of anxiety, but nothing like recently. my psychiatrist prescribed zoloft and the side effects were unbearable. my mood became much worse, threw up, more suicidal, etc. i only took it for two days. i am so happy this works for certain people. depression and anxiety is pure torture.""",1,"November 16, 2012",-1
Aviane,birth control,"""i started taking aviane when i was 16 1/2 and i've been on it ever since. i'm now 21 and about to discontinue my use of aviane. it caused me to be emotional almost all the time, i have very little patience, moods swings, i gained weight, it's tough to lose weight, i have constant headaches and my acne is horrible to the point of scarring. since i was taking this birth control through the toughest of teenage years, i just thought this was who i became. but after doing research and finding this website, i now know i'm not the only one who has suffered through taking aviane. it did its job with preventing pregnancy, but didn't help with my heavy period and painful cramps. i'm finishing my current pack and it'll be my last.""",3,"October 5, 2015",-1
Etonogestrel,birth control,"""this implanon has been the worst birth control i have taken. i've had terrible breakouts, non stop spotting , loss of libido , and it's causing me to get agitated over ever my little thing. this birth control has caused me to fight with my boyfriend every single day and has slowly been pushing us apart. i'm ready to get this thing the hell out of me.""",1,"November 8, 2015",-1
Gabapentin,anxiety,"""i was prescribed this for anxiety never should have had such strong medication for that as it controls seizures and brain injurys. my physical health& nerves were fine before this. nuerontin destroyed the nerves in my hands& feet& gave me peripheral& axonal neuropathy. ironically its used to treat these nerve conditions but because my nerves were fine before taking it,it did the opposite and destroyed the nerves in my hands& feet destroying my life. have been disabled 8 yrs for trusting my dr and the damage is irreversable. drs shouldn't use patientz as guinea pigs and pharmaceutical companies should not  e allowed to give medication not intended for medical conditions.i have lost 8 yrs of my life due to this medication and am not diabetic.""",1,"November 24, 2016",-1
Zoloft,depression,"""i've been all over the place in my head. it calms me down some but not a lot. plus i've been gaining weight, i've been sick, headaches, itchy, and so much other stuff.""",4,"January 25, 2017",0
Levonorgestrel,birth control,"""i have had this for about 5 months now.. i had no idea others were going through the same things i am... i am tired, moody and have gained about 25 lbs.. i have been working out more and couldn't figure out what was going on until now. i am dry during sex, not in the mood most of the time. acne has been pretty bad, didn't know why that was either (don't usually have acne). for a few weeks now my body feels like it is pregnant. the moods, tired, etc.... but all tests say not pregnant. it makes me uncomfortable to have so many things going on.""",1,"May 7, 2010",-1
Skyla,birth control,"""so i got my skyla inserted and it was honestly the worst pain of my entire life. my doctor had told me that i would feel some cramping but during and especially after i could not even breathe. i sat up after it was over and started sweating, my ears started to ring and i then passed out! when i woke up i was in the worst pain i have ever felt. i drove myself to the doctor but i had to have someone come get me because i couldn't even stand up. the rest of the day i had extreme cramping. still debating on whether to take it out or not because it doesn't feel comfortable.""",1,"March 7, 2017",-1
Etonogestrel,birth control,"""i got this for the same reason as everyone else, because i hate taking the pill. i must say i give it a 10 for birth control considering i'm constantly on my period, so i can't have sex anyway. it's been three months that i've been on my period, and the constant bleeding caused a bacterial infection which then led to problems with utis. i am miserable, but my doctor made me sign an agreement saying i couldn't get it removed because of period problems, so now i'm stuck. i would not suggest this product to anyone who plans on having sex in the next six months or doesn't want to pay to constantly buy pads or tampons. it is becoming expensive and not worth all of this hassle.""",1,"October 23, 2013",-1
Levonorgestrel,birth control,"""i am a 42 year old mother of 1. i had mirena inserted in 2007 after i was done breast-feeding. i absolutely loved mirena until recently. i didn't have to remember to take the pill daily and i felt it was the best way to prevent another pregnancy. a couple of months ago, i had a new one inserted after months of my husband complaining about the strings poking him. i don't know what made me look into it, but i realized that over the past 4 years i have gained over 35lbs.,my sex drive is almost non-existent, i am often dry during intercourse. i want to run to the obgyn, but have to wait until next week to it removed. if you get one, be aware of your body's response to it following insertion.""",3,"November 7, 2011",-1
BuSpar,anxiety,"""i was prescribed this drug for anxiety i took it home and managed to take it for 2 days but immediately noticed severe insomnia that after two days made me stop taking it. on top of the inability to sleep despite feeling tired i had absolutely zero appetite. in the little over 48 hours i had only managed to eat a handful of cherries... 
however when i was on the drug i did notice less irritability and increased fatigue which i attributed to not sleeping or eating.""",3,"July 24, 2017",-1
Mirena,birth control,"""i have had my iud inserted february of 2014, now, more than 2 years later i have had it removed today, finally.

this birth control has been so horrible for me, so horrible that even if i got offered a million pounds i would still not get that thing anywhere near me again.

the first 6 months was okay, i expected it to be uncomfertable and maybe a little painfull but 2 years later the pain only got worse.
i took this because i had very painfull and heavy periods, also i kept forgetting the pill.
my periods have been super heavy, really painfull and irregular.
this is not even the only thing, ever since i have this thing i have had chronic thrush infections and so much discharge that i did not dare to go outside because i was scared.""",1,"May 4, 2016",-1
Duloxetine,pain,"""i've had lower back pain for over a year and several doctors later, i was put on cymbalta.  i could not handle the side effects.  i was having horrible dreams, sweats, felt nauseated, shakes, and felt really out of it with dizziness and confusion.  this was a 30 mg dose, i'm not on any other medicines.""",1,"April 24, 2012",-1
Citalopram,depression,"""gave these a try to help with anxiety and depression, had lots of side affects i'm on 10 mg a day. i won't be taking more.  i have had headache's sleepiness, upset stomach and my anxiety has got worse. 
 i took them for over two weeks now but can't deal with side effects anymore.""",1,"May 13, 2017",-1
Tri-Sprintec,birth control,"""i had been taking ortho tri cyclen lo but had to switch to this generic tri lo sprintec. i started it on vacation with my fiancé in hawaii and it made me so moody, irritable, angry, and crazy! not much can ruin a vaca in hawaii, but it definitely caused me to start a lot of fights with my s/o. seriously, these side effects are so real. i'm sure it affects everyone differently, but i'm switching right away. that's the first thing my fiancé said to me too- caused me to not act my normal self, cry about everything and make everything a difficult situation. such a terrible experience. no babies though..""",1,"May 3, 2016",-1
Junel Fe 1.5 / 30,birth control,"""horrible birth control experience! i do not recommend this method to anyone. i've only been taking the pill for about a week and i've been in the er and urgent care for extreme chest/back pain and trouble breathing. my lung is now inflamed as a side effect of this pill (junel fe) this pill has effected my daily life and caused a lot of unexpected medical expenses. i am a very healthy 29 year old with no history of health problems. i do not smoke either. very unfortunate situation. please do your research before taking this pill.""",1,"April 6, 2017",-1
Copper,birth control,"""i would never recommended as a birth control. i got it in 2014 i just got to take it out today in 2017. for the past year-and-a-half i've been so sick. i've been seen special doctors got my gallbladder taken out, and been on many medications because they could never figure out what was truly wrong with me. i had cramping horribly bad and heavy  periods, nausea, vomiting, upset stomach. always felt like i had morning sickness. fatigue, brain fog. finally i saw a link on a website saying how paragard has really bad side effects thank god i clicked on that. i have 85% of all side effects. found out that the copper on this has been going to my bloodstream and i have what's called copper toxicity. way too much copper in my body.""",1,"June 27, 2017",-1
Desvenlafaxine,depression,"""this med  works well for norepinephrine uptake inhibition which is my problem.  however, it can cause anorgasmia in men over 50 years of age.  i can have an erection and sexual intercourse but i never finish the job.  one of the side effects listed for this drug if you read the small print.  i stopped using it years ago and still have side effects.""",5,"January 10, 2017",0
Ethinyl estradiol / levonorgestrel,birth control,"""i was taking aviane before and transferred my prescription to a different pharmacy. there they gave me lutera since they did not have aviane... worst experience of my life. constant headaches and acne were the main symptoms right before my period. extremely painful periods as well. if you are experiencing these symptoms while on lutera, i would highly recommend trying aviane. i do not have any headaches or acne and my periods are pain free.""",2,"February 26, 2016",-1
Nexplanon,birth control,"""this is the absolute worst birth control and i wouldn't recommend it to anyone. when i first had it placed i had my period for 5 months straight. now i've had it for almost 2 years (ive procrastinated getting it out) my periods can last from 15-30 days, easy. and i'm lucky if i get 10 days inbetween them. aside from that, my arm aches and throbs. i have heard so many horror stories about this birth control & plan on getting it taken out soon. ladies, #saynotonexplannon""",1,"June 7, 2016",-1
NuvaRing,birth control,"""i wish i could say i had a good experience with the nuva ring but i didn't. i was one of the unlucky ones who suffered through very severe symptoms the entire time. i had severe cramping/abdominal pain for the entirety of the time i was using the ring. they were so bad that i took time off from work because i could not stand up. i bled almost constantly the entire time, and it was very heavy spotting, heavier than i had ever had from a period before using the ring. i bled heavily during and after intercourse. 

after the cramps became unbearable and i could not stand bleeding as heavily as i was i decided to come off nuva ring. it took my body seven months to stop bleeding heavily. i had heavy periods for two weeks at a time as my body readjusted. and even now my periods last longer than they did before using the ring. i also have spotting in between periods, and i never had spotting before using the ring. 

i'm starting a new birth control, and i'm hoping my body goes back to normal soon.""",1,"November 20, 2017",-1
Junel Fe 1 / 20,acne,"""i had been taking these pills for about 6 months and my period were great, skin was perfectly clear. then i got off of them and now i'm back on them and my entire chin has broken out. i'm only on the 3rd week of restarting them so i hope it goes back to the way it used to be. maybe its just the hormones going crazy for now. i don't know.""",6,"August 13, 2011",0
Chlordiazepoxide,anxiety,"""this drug did very little for me. my doctor prescribed it as an alternative to xanax until a full clinical work up could be done. as a moderate to heavy drinker, he did not advise me that this is used to pull people from the disease. i don't feel like i have issues with alcoholism but it really messed me up when mixing the two. felt stoned or comatosed. taking the drug sober did almost nothing anyway except when i take 2 or 3 at a time and still it does not release the anxiety i have.""",3,"June 8, 2009",-1
Lo Loestrin Fe,birth control,"""horrible i started it about 3 weeks ago now and since my anxiety has been horrible i cannot enjoy my days i'm constantly nauseous severe cramps and i've started bleeding again two days ago and my pains are horrible when my bleeding started again i also had pretty bad diahrea my stomach has always been a strong one and it seems to be so far off and upset all the time now i've got weird headaches dizziness and lower back pain this pill sucks will stop taking this pill after today when i finally realized what it really was""",1,"May 3, 2016",-1
Doxycycline,acne,"""i starting taking monodox to help with a acne breakout. it worked within 3 days and started drying out my acne, but after 2 weeks i stopped because it was irritating my stomach to much. my face was pretty cleared up but not perfect. i was supposed to be on it for a month. the weirdest thing was the day after i stopped the drug i began have extreme static electricity in my hair. i still have it and it has been 4 days. i googled to see what it could be and found that people who are on accutane have experienced the same. i hope it goes away, it is very irritating.""",4,"May 11, 2009",0
Ethinyl estradiol / norethindrone,birth control,"""i've been on generess fe for roughly 5 months and i'm still experiencing bad nausea. i have also noticed weight gain (probably around 10-15 lbs within the first couple of weeks), my breasts are constantly tender and i'm depressed and tired much of the time. i have an appointment to switch my birth control.""",2,"July 18, 2012",-1
Duloxetine,pain,"""my md prescribed cymbalta for chronic pain caused by disc bulges, in addition to treating my previously diagnosed depression and anxiety.

i took my first dose around noon, and by 2pm had a pounding headache. as the day continued, i began to have tremors and convulsions, blurred vision and was very disoriented. at 10 pm my heart rate and breathing were very rapid and i had mild hallucinations. i rode it out for the rest of the night and after about 3 hours most of the side effects had faded with the exception of the headache. unfortunately, the worst side effects was yet to come, graphic vivid nightmares. my doctor took me off the medication, after one dose, three days ago. """,1,"January 16, 2010",-1
Levonorgestrel,birth control,"""effectiveness.. well i was the 1% of the population to get pregnant from the iud. i ended up in the er because of moderate to severe abdominal pain, bloating, and bleeding. i had weird symptoms and i didn't think it was time for my period so i called my gyno and she said i was probably fine but just take a pregnancy test (i was concerned my iud shifted). the pregnancy test was positive so we knew something was very wrong so ended up in er with an ectopic pregnancy and a huge ovarian cyst. i had emergency surgery to remove my fallopian tube. i had the iud for 5 months and it was not a pleasant experience, i had cramping that was severe even months after i got it put in, to the point i was hurled over. but it may have been the cyst growing.""",1,"April 21, 2017",-1
Clonazepam,anxiety,"""must be the only person who does not think this is a wonder drug.  had a nervous breakdown of sorts while already  taking zoloft for anxiety.   was prescribed clonazepam and didnt touch the sides.  avanza was added and i felt good for a month. still take it 2 years later 3mg per day but am not a happy person""",2,"July 13, 2015",-1
Viibryd,depression,"""viibryd does a fair job with my depression, which is better described as low frustration tolerance and rage issues.  the side effects i had included horrible nightmares, a very frightening condition known as sleep paralysis and brain zaps, described by many of the users on this site.  i rate it a 2 and am now transitioning to another ssri""",2,"May 24, 2012",-1
Levonorgestrel,birth control,"""ok i had mine inserted six weeks after my daughter was born nov 2012. when it was inserted it hurt like heck. i had some cramping and bleeding nothing bad tho. i loved it until easter 2013 i had one breast swell it was a small cyst. and no period for six months well of course i didn't think it was my mirena. then my period suddenly came back. i have suffered a miscarriage. i have been so moody, cramps awful cramps, low sex drive my poor husband, breast swelling and tenderness again, cysts on both ovaries, hair loss, depression. i'm getting this thing yanked as soon as possible. and going back on the pill. i hate it! do not recommend for anyone!""",2,"May 20, 2015",-1
Minocycline,acne,"""i am a 16 year old boy,i suffer from fairly mild acne.i have been on minocycline 100mg once a day for about 3 weeks now. i have noticed my acne has become more apparent as if all the spots have come to the surface however this is annoying i have read that the general theme is it gets worse before it gets better. i use clean and clear advantage spot control daily wash in the morning and night i have so far not really noticed any difference with using this product however it leaves a refreshed tight feel to my face so i moisturise after using aveeno moisturising lotion i would recommend this product however as it stops your skin feeling dry.""",4,"May 28, 2015",0
Pramoxine,pain,"""this was for my anal fissure.  i had 3 refills because medication gets wasted as it does not go into applicator....but definitely seeps out side of canister. $166.00 x 3 and what a waste of money. would probably be a great drug if product didn't waste out sides. called manufacturer, called pharmacy...it's like getting clearance for nasa. please beware!""",2,"October 20, 2017",-1
Levonorgestrel,birth control,"""i got skyla inserted two years ago. i still had periods on skyla but they were much heavier and i had awful cramps. skyla also caused me to have terrible acne. it wasn’t until recently that i started to have more issues. my periods began lasting more than a week and a half and were only two weeks apart. i’ve been suffering from headaches daily, no energy, dizziness, and nausea. i just don’t feel like myself. i called my doctor and he seemed to think removing skyla would solve the problems. i went this morning to have it removed (which is pain-free!!!) so hopefully things will get better!""",1,"October 18, 2017",-1
Sertraline,depression,"""i have been using setter alone now for around 4 years and they help with my mood and anxiety, i am on 100mg, 1 tablet a day. my hair has gone extremely thin, losing loads each day, via combing; i thought initially it was after having my son who is nearly 4 years old, as hair loss can be associated after bearing a child but its getting worse, to the point where my daughter said gosh mum that's not normal, your hair comes out in clumps! 
i am rather worried as may be it could be the medication?
plus iv put on weight and my appetite has increased! iv put on 3 stone since having my son. 
i think i'm going to reduce the amount gradually and stop taking it as il end up more depressed if these symptoms continue!""",6,"August 23, 2016",0
Ethinyl estradiol / norgestimate,birth control,"""i am 21 years old and was on cyclen for 3 months when i was diagnosed with blood clots in my lungs (pulmonary embolism) i have since been informed that this birth control put me at a greater risk due to its higher levels of estrogen. luckily they were caught and time and i am currently being treated for them. my symptoms started out as a aching/stabbing pain in my mid/upper back that was worse when i ate, then a few days later my breathing started to feel rather heavy. i was also coughing and burping a bit. i also had a bunch of other side effects during the course of taking this pill including: breast pain, headaches, nausea and major mood swings!! i don't normally right reviews but i would feel horrible if this happened to anyone else!!""",1,"June 8, 2016",-1
Tri-Previfem,birth control,"""i have been on birth control for over 3 years.  i too was on sprintec until they changed it to tri-previfem - didn't notice any changes with my body between the two.  the first month i started taking the pill was crazy, my emotions were uncontrollable (it was scary) and my skin was breaking out.  i don't like tri-previfem but it does keep me from getting pregnant.  skin still breaks out but i don't know if that's just me or the pill doing it.  i never really got period cramps/symptoms before the pill, now i do.  periods are much lighter and shorter though.  my boobs grew about half a size.  no weight gain.  no libido either - my boyfriend hates it but the pill is the best way to avoid pregnancy.  wouldn't recommend unless necessary.""",3,"April 30, 2016",-1
Lexapro,anxiety,"""today is my 3rd day on medication. i was prescribed it for social anxiety (despite being a beautiful 6'2 male with no reason to be anxious about appearance) generalized anxiety and panic attacks. talking to people in malls, convenience stores and being around large groups of people frighten me. i havent noticed much of a difference other than lack of sleep, crazy amazing lucid dreams for the first two nights and my jaw clenching. so far no effect on anxiety and took a benzo because im feeling restless but still feeling restless right now. i pray this works as im unable to work now due to my anxiety. ive always had anxiety but after having mono for 2 months it has spiraled completely out of control. i will update this soon. please work!""",4,"April 15, 2016",0
Loestrin 24 Fe,acne,"""let's start with the fact that l just cried for 20 minutes bc of the acne this pill has given me. i've been on it for exactly 2 weeks and never seen a pimple in my life. suddenly my entire forhead is covered in pimples. i was put on this pill because i got my period every 5 days and it lasted for 6-11 days. no blood or spotting since l went on the pill which is a miracle for me! but i am still pretty upset about my skin.""",1,"February 6, 2017",-1
Enskyce,birth control,"""this is the worst! i have taken desogen and apri, but switched to enskyce a few months ago when it was cheaper and it was supposed to be the same. but enskyce has made me bloated, retain water (take diuretics for this) and i had breakthrough bleeding at all different times of the month. can't wait to finish off these last packs and swtich to something i like again, even if it costs more. don't get enskyce!""",1,"November 10, 2016",-1
Ethinyl estradiol / norethindrone,birth control,"""i started this pill when my son was 3 months old (he is now 18 months old). about 6 months ago i stopped taking the pill and 3 months later i started it again. i had never had any problems with the pill before this but after stopping/starting the pill my hair started falling out. i have been to my obgyn about it (who has taken me off of the pill), to my primary care physician, and to a dermatologist. all 3 doctors say there really isn't anything they can do about the hair loss. it's been about 5 months of hair loss and i am to the point my husband last night noticed my hair line is receding and i've lost about 70% of my hair. i am devastated, embarrassed, and scared! i have read devastating hair loss can happen with this pill!""",1,"July 28, 2015",-1
Lorazepam,anxiety,"""i have acute panic disorder. i was on ssri's for a while but they did not work for me to stop the attacks. my doctor decided to put me on lorazapem. it did stop my panic attacks very well and i started to feel good for a while, i was taking 0.5mg every day. about a year after i had developed a faster heart rate during my panic attacks and i started seeing my pulse pounding on my neck.  i still used it and thought that it was probably a new health condition. after going to several cardiac test, nothing was found wrong with my heart.
i read a message at a discussion board one day.
ativan may cause rapid heart rate, a pounding pulse on the neck and chest. i stopped taking it and switched to xanax. all my symptoms went away.""",1,"October 31, 2009",-1
Ethinyl estradiol / norgestimate,acne,"""i wrote a review on january 22nd saying that i'll give this pill three more months. well i didn't even last a full month. i was getting huge cystic acne everywhere but my cheeks. it hurt so bad it made me cry. after getting off the pill, which was no problem except a heavy mood swing, i've felt happier. i guess i was feeling depressed on the pill and didn't even recognize it because my life was very stressful at the time of starting it. my acne has gone away except for a few small pimples before my period. i will never go back to this pill. i am not currently on birth control but plan to be back on within the next year.""",1,"April 4, 2016",-1
