tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id
01/08/2023,P010,Çanta,Giyim,597.41,14,8363.74,9282
03/12/2023,P024,Bilgisayar,Elektronik,1117.48,16,17879.68,9354
24/08/2023,P018,Telefon,Elektronik,154.83,14,7520.75939059395,3050
30/01/2024,P024,Bilgisayar,Elektronik,1383.13,19,26279.47,1484
22/04/2023,P087,Kulaklık,Elektronik,709.18,11,7800.98,2523
21/01/2023,P063,Klima,Elektronik,1312.88,16,21006.08,7139
08/09/2023,P032,Mouse,Elektronik,1462.41,5,7312.05,9426
08/07/2023,P011,Kalem,Kırtasiye,32.18,2,64.36,9072
08/06/2024,P010,Çanta,Giyim,991,16,15856.0,7253
15/10/2023,P063,Klima,Elektronik,1360.87,10,13608.7,9732
22/12/2023,P087,Kulaklık,Elektronik,434.92,4,1739.68,1756
11/10/2023,P032,Mouse,Elektronik,675.89,13,8786.57,7710
15/05/2023,P037,Fırın,Ev Aletleri,1297.88,6,7520.75939059395,1836
18/12/2023,P097,Su Şişesi,Mutfak Ürünleri,43.22,2,86.44,5360
10/07/2023,P011,Kalem,Kırtasiye,60.42,11,664.62,7083
07/09/2023,P011,Kalem,Kırtasiye,41.66,3,124.98,8509
01/02/2023,P037,Fırın,Ev Aletleri,670.88,13,8721.44,5798
12/06/2023,P018,Telefon,Elektronik,741.99,7,5193.93,3558
12/01/2023,P063,Klima,Elektronik,1228.14,3,3684.42,8889
04/04/2023,P024,Bilgisayar,Elektronik,1418.44,13,18439.72,5731
18/03/2023,P018,Telefon,Elektronik,125.51,9,1129.59,8095
08/10/2023,P082,Defter,Kırtasiye,1466.61,12,17599.32,9452
24/10/2024,P024,Bilgisayar,Elektronik,205.53,6,1233.18,2367
04/06/2023,P037,Fırın,Ev Aletleri,1220.21,1,1220.21,1494
01/06/2023,P024,Bilgisayar,Elektronik,1242.43,18,22363.74,4544
19/04/2024,P087,Kulaklık,Elektronik,429,10,4290.0,5198
11/04/2023,P032,Mouse,Elektronik,201.25,19,3823.75,2129
09/12/2022,P087,Kulaklık,Elektronik,1066.05,2,2132.1,9500
03/09/2023,P024,Bilgisayar,Elektronik,73.74,16,1179.84,7155
05/02/2024,P082,Defter,Kırtasiye,1054.46,15,15816.9,1907
02/05/2024,P087,Kulaklık,Elektronik,430.98,19,7520.75939059395,9385
22/11/2023,P024,Bilgisayar,Elektronik,816.21,13,10610.73,5318
23/05/2024,P087,Kulaklık,Elektronik,998.07,17,7520.75939059395,7021
12/02/2023,P082,Defter,Kırtasiye,1170.6,16,18729.6,5209
15/01/2024,P097,Su Şişesi,Mutfak Ürünleri,928.07,11,10208.77,4986
29/04/2024,P024,Bilgisayar,Elektronik,1109.56,3,3328.68,2312
11/04/2023,P082,Defter,Kırtasiye,771.8,12,9261.6,1499
23/10/2023,P018,Telefon,Elektronik,11/07/2024 00:00,5,55.35,3111
11/07/2024,P018,Telefon,Elektronik,729.28,16,11668.48,9260
31/03/2024,P087,Kulaklık,Elektronik,903.34,14,12646.76,3196
08/01/2023,P010,Çanta,Giyim,1182.59,17,20104.03,8024
15/05/2023,P087,Kulaklık,Elektronik,621.7,5,3108.5,1431
10/02/2024,P087,Kulaklık,Elektronik,873.05,5,4365.25,7423
05/07/2024,P010,Çanta,Giyim,603.99,9,5435.91,7530
10/11/2022,P097,Su Şişesi,Mutfak Ürünleri,549.64,12,6595.68,9880
17/02/2024,P037,Fırın,Ev Aletleri,771.44,16,12343.04,8915
09/07/2023,P010,Çanta,Giyim,1180.98,4,4723.92,6258
13/05/2023,P097,Su Şişesi,Mutfak Ürünleri,671.2,15,10068.0,3955
11/02/2023,P087,Kulaklık,Elektronik,1010.34,7,7072.38,6863
06/01/2023,P082,Defter,Kırtasiye,283.44,9,2550.96,2661
18/08/2023,P024,Bilgisayar,Elektronik,260.59,9,2345.31,6123
14/01/2023,P037,Fırın,Ev Aletleri,248.75,9,2238.75,8900
11/10/2024,P024,Bilgisayar,Elektronik,388,14,5432.0,5619
03/07/2024,P063,Klima,Elektronik,614.08,15,9211.2,7152
25/12/2022,P018,Telefon,Elektronik,23.75,4,95.0,3393
19/12/2023,P011,Kalem,Kırtasiye,291.36,4,1165.44,2535
24/05/2023,P032,Mouse,Elektronik,177.89,6,1067.34,4741
27/03/2024,P011,Kalem,Kırtasiye,280.37,19,5327.03,2619
18/05/2024,P082,Defter,Kırtasiye,23.59,6,141.54,5760
23/03/2024,P097,Su Şişesi,Mutfak Ürünleri,1119.64,11,12316.04,1167
29/11/2022,P024,Bilgisayar,Elektronik,345.03,1,345.03,1960
13/02/2024,P024,Bilgisayar,Elektronik,980.43,15,14706.45,9519
15/04/2024,P037,Fırın,Ev Aletleri,894.77,19,17000.63,2870
07/07/2023,P082,Defter,Kırtasiye,975.47,6,5852.82,6443
06/03/2023,P018,Telefon,Elektronik,711.34,13,9247.42,6202
12/06/2023,P018,Telefon,Elektronik,813.43,15,12201.45,2662
09/07/2024,P063,Klima,Elektronik,131.65,6,7520.75939059395,9178
14/08/2024,P097,Su Şişesi,Mutfak Ürünleri,978.69,17,16637.73,5645
21/02/2024,P018,Telefon,Elektronik,813.57,2,1627.14,3706
13/10/2023,P087,Kulaklık,Elektronik,426.3,4,1705.2,8188
14/02/2024,P097,Su Şişesi,Mutfak Ürünleri,1403.12,4,5612.48,1981
27/11/2023,P063,Klima,Elektronik,133.38,8,1067.04,4465
26/10/2024,P010,Çanta,Giyim,192.07,17,3265.19,5164
18/05/2023,P063,Klima,Elektronik,01/07/1935 00:00,13,95.55,6741
29/09/2023,P087,Kulaklık,Elektronik,537.13,11,5908.43,6533
02/07/2023,P024,Bilgisayar,Elektronik,1102.28,3,3306.84,5735
27/05/2023,P024,Bilgisayar,Elektronik,25.79,15,386.85,4869
13/12/2023,P032,Mouse,Elektronik,122.66,15,1839.9,2217
09/08/2024,P011,Kalem,Kırtasiye,1004.66,1,1004.66,4310
12/02/2023,P032,Mouse,Elektronik,528.21,8,4225.68,6671
13/12/2023,P032,Mouse,Elektronik,180.98,4,723.92,4263
20/08/2024,P010,Çanta,Giyim,20.13,7,140.91,8586
12/07/2023,P018,Telefon,Elektronik,418.85,16,6701.6,7138
23/09/2023,P097,Su Şişesi,Mutfak Ürünleri,799.32,5,3996.6,3486
02/09/2023,P087,Kulaklık,Elektronik,155.58,10,7520.75939059395,2333
05/09/2024,P087,Kulaklık,Elektronik,959.75,2,1919.5,9826
16/05/2024,P032,Mouse,Elektronik,565.78,5,2828.9,7147
25/10/2023,P010,Çanta,Giyim,1438.84,13,18704.92,5627
07/01/2023,P010,Çanta,Giyim,840.93,15,12613.95,2262
12/09/2023,P011,Kalem,Kırtasiye,571.47,13,7520.75939059395,7509
14/10/2024,P063,Klima,Elektronik,17.45,18,314.1,9520
12/12/2023,P082,Defter,Kırtasiye,965.26,11,10617.86,3092
17/04/2023,P082,Defter,Kırtasiye,1184.11,9,10656.99,9880
01/06/2024,P063,Klima,Elektronik,126.77,8,1014.16,4272
03/04/2024,P032,Mouse,Elektronik,281.06,5,1405.3,6305
23/03/2023,P018,Telefon,Elektronik,01/07/1989 00:00,13,102.57,6298
24/01/2023,P018,Telefon,Elektronik,440,14,6160.0,3049
23/07/2024,P087,Kulaklık,Elektronik,546.44,18,7520.75939059395,7380
29/08/2023,P010,Çanta,Giyim,1392.59,9,12533.31,6477
30/11/2022,P037,Fırın,Ev Aletleri,1307.11,2,2614.22,6762
04/10/2024,P082,Defter,Kırtasiye,62.92,9,566.28,4474
05/05/2024,P063,Klima,Elektronik,59.36,19,1127.84,6027
25/07/2023,P037,Fırın,Ev Aletleri,1440.2,17,24483.4,9921
05/08/2024,P011,Kalem,Kırtasiye,104.18,8,833.44,4753
07/05/2024,P097,Su Şişesi,Mutfak Ürünleri,905.86,12,10870.32,5643
08/08/2024,P018,Telefon,Elektronik,688.41,5,3442.05,1943
24/04/2024,P087,Kulaklık,Elektronik,1122.45,18,20204.1,6491
08/05/2024,P011,Kalem,Kırtasiye,389.72,9,7520.75939059395,9634
20/08/2023,P010,Çanta,Giyim,683.63,19,12988.97,8437
24/01/2024,P097,Su Şişesi,Mutfak Ürünleri,759.91,5,3799.55,7427
29/02/2024,P063,Klima,Elektronik,57.42,12,689.04,4598
04/08/2023,P037,Fırın,Ev Aletleri,847.28,12,10167.36,9083
03/04/2023,P011,Kalem,Kırtasiye,1303.79,1,1303.79,5831
17/06/2024,P037,Fırın,Ev Aletleri,880.55,17,14969.35,7028
22/03/2024,P063,Klima,Elektronik,865.5,16,13848.0,1059
29/05/2024,P011,Kalem,Kırtasiye,110.03,3,7520.75939059395,6923
24/06/2024,P082,Defter,Kırtasiye,102.92,4,411.68,8570
16/06/2024,P010,Çanta,Giyim,238.69,10,2386.9,1587
08/11/2023,P011,Kalem,Kırtasiye,973.35,12,11680.2,9386
15/02/2024,P037,Fırın,Ev Aletleri,1498.49,11,16483.39,2856
25/10/2023,P011,Kalem,Kırtasiye,560.16,7,3921.12,8448
15/05/2024,P037,Fırın,Ev Aletleri,643.89,16,10302.24,2111
16/06/2023,P018,Telefon,Elektronik,149.73,15,2245.95,9890
02/10/2024,P010,Çanta,Giyim,956.26,7,6693.82,9469
18/11/2022,P018,Telefon,Elektronik,966.9,10,9669.0,1577
20/07/2024,P037,Fırın,Ev Aletleri,273.6,5,1368.0,2214
09/12/2022,P024,Bilgisayar,Elektronik,637.19,6,3823.14,2515
09/09/2024,P018,Telefon,Elektronik,59.96,10,599.6,3406
13/09/2023,P032,Mouse,Elektronik,01/11/1969 00:00,12,140.28,7541
22/02/2024,P037,Fırın,Ev Aletleri,1392.03,10,13920.3,4587
09/02/2024,P010,Çanta,Giyim,1373.56,1,1373.56,5012
16/07/2023,P087,Kulaklık,Elektronik,573.58,2,1147.16,5901
24/03/2024,P087,Kulaklık,Elektronik,499.96,14,6999.44,5381
19/06/2024,P097,Su Şişesi,Mutfak Ürünleri,676.85,3,2030.55,8753
11/07/2024,P032,Mouse,Elektronik,70.56,3,211.68,7550
13/04/2024,P024,Bilgisayar,Elektronik,350.31,7,2452.17,8755
02/11/2023,P024,Bilgisayar,Elektronik,505.93,17,8600.81,2464
10/02/2024,P097,Su Şişesi,Mutfak Ürünleri,1107.06,13,14391.78,6266
18/08/2024,P032,Mouse,Elektronik,966.57,10,9665.7,7958
24/04/2024,P063,Klima,Elektronik,34.7,12,416.4,1045
27/03/2023,P032,Mouse,Elektronik,388.54,5,1942.7,7591
21/02/2023,P011,Kalem,Kırtasiye,52.71,12,632.52,3795
16/06/2023,P082,Defter,Kırtasiye,732.4,15,10986.0,3595
21/01/2024,P010,Çanta,Giyim,223.7,13,2908.1,1797
05/01/2024,P063,Klima,Elektronik,1134.04,11,12474.44,8970
13/10/2024,P082,Defter,Kırtasiye,604.93,12,7259.16,7469
21/08/2024,P063,Klima,Elektronik,767.97,9,7520.75939059395,2941
23/06/2023,P063,Klima,Elektronik,471.12,3,1413.36,1748
25/04/2024,P032,Mouse,Elektronik,535.47,8,4283.76,1797
23/08/2023,P063,Klima,Elektronik,335.95,9,3023.55,9049
26/06/2024,P024,Bilgisayar,Elektronik,1394.74,18,25105.32,7289
15/06/2024,P024,Bilgisayar,Elektronik,451.42,17,7674.14,8939
03/09/2023,P087,Kulaklık,Elektronik,847.18,13,11013.34,7162
26/07/2024,P063,Klima,Elektronik,409.59,2,819.18,6182
16/08/2024,P063,Klima,Elektronik,888.56,11,9774.16,2735
29/09/2023,P032,Mouse,Elektronik,736.02,10,7360.2,4763
26/01/2024,P032,Mouse,Elektronik,1275.01,11,14025.11,2520
10/09/2023,P037,Fırın,Ev Aletleri,647.87,13,8422.31,5071
12/09/2024,P037,Fırın,Ev Aletleri,854.78,11,9402.58,6396
21/12/2022,P037,Fırın,Ev Aletleri,1391.57,2,2783.14,7277
21/06/2023,P032,Mouse,Elektronik,1045.73,8,8365.84,2496
21/04/2024,P011,Kalem,Kırtasiye,992.7,19,18861.3,6500
05/12/2023,P037,Fırın,Ev Aletleri,849.93,19,7520.75939059395,2753
20/10/2024,P011,Kalem,Kırtasiye,467.93,11,7520.75939059395,8525
04/10/2023,P097,Su Şişesi,Mutfak Ürünleri,676.37,12,8116.44,8220
02/07/2023,P018,Telefon,Elektronik,439.91,15,7520.75939059395,1511
09/07/2023,P097,Su Şişesi,Mutfak Ürünleri,1118.34,13,7520.75939059395,6868
06/12/2022,P037,Fırın,Ev Aletleri,66.23,13,860.99,8712
14/04/2023,P097,Su Şişesi,Mutfak Ürünleri,1177.55,4,4710.2,7643
08/04/2023,P087,Kulaklık,Elektronik,508.06,16,8128.96,5779
07/02/2024,P018,Telefon,Elektronik,601.66,11,7520.75939059395,6663
25/04/2023,P037,Fırın,Ev Aletleri,1030.43,4,4121.72,8476
18/05/2023,P087,Kulaklık,Elektronik,1229.95,7,8609.65,3577
07/10/2024,P097,Su Şişesi,Mutfak Ürünleri,800.56,9,7520.75939059395,1051
18/01/2023,P018,Telefon,Elektronik,1115.41,1,1115.41,4769
04/04/2023,P024,Bilgisayar,Elektronik,1485.07,7,10395.49,2027
12/02/2023,P063,Klima,Elektronik,221.92,19,4216.48,4710
07/10/2024,P024,Bilgisayar,Elektronik,918.39,9,8265.51,9357
28/03/2023,P037,Fırın,Ev Aletleri,1033.52,13,13435.76,8019
12/04/2023,P024,Bilgisayar,Elektronik,557.29,8,4458.32,8562
09/12/2022,P097,Su Şişesi,Mutfak Ürünleri,1029.24,2,2058.48,5579
22/07/2023,P063,Klima,Elektronik,1446.45,15,21696.75,3790
25/04/2024,P011,Kalem,Kırtasiye,662.13,15,9931.95,9049
01/07/2024,P063,Klima,Elektronik,760.55,19,14450.45,6138
14/03/2024,P037,Fırın,Ev Aletleri,417.22,7,2920.54,9502
23/09/2024,P018,Telefon,Elektronik,840.51,9,7564.59,2615
12/11/2022,P082,Defter,Kırtasiye,700.77,6,4204.62,8121
08/02/2023,P011,Kalem,Kırtasiye,632.73,19,12021.87,9289
21/11/2022,P037,Fırın,Ev Aletleri,244.01,13,3172.13,2957
03/07/2023,P024,Bilgisayar,Elektronik,1497.16,4,5988.64,6738
21/08/2024,P082,Defter,Kırtasiye,982.28,19,18663.32,3070
01/09/2023,P011,Kalem,Kırtasiye,783.31,12,9399.72,6951
11/05/2024,P032,Mouse,Elektronik,419.3,3,1257.9,5595
26/05/2023,P010,Çanta,Giyim,1095.76,11,12053.36,7872
01/05/2023,P063,Klima,Elektronik,807.62,16,12921.92,5122
05/04/2024,P097,Su Şişesi,Mutfak Ürünleri,477.7,11,5254.7,8268
30/04/2024,P097,Su Şişesi,Mutfak Ürünleri,306.56,13,3985.28,1974
11/05/2024,P063,Klima,Elektronik,794.16,15,11912.4,1687
24/04/2024,P032,Mouse,Elektronik,432.63,3,1297.89,6221
12/02/2023,P063,Klima,Elektronik,869.96,11,9569.56,3392
14/08/2023,P097,Su Şişesi,Mutfak Ürünleri,1171.18,6,7027.08,6546
09/10/2023,P010,Çanta,Giyim,370.52,16,5928.32,2880
23/08/2023,P087,Kulaklık,Elektronik,804.49,9,7240.41,7492
12/02/2024,P063,Klima,Elektronik,1456.47,11,16021.17,4663
21/08/2024,P010,Çanta,Giyim,1414.8,2,2829.6,2824
02/05/2024,P010,Çanta,Giyim,193.43,1,193.43,8049
20/09/2024,P024,Bilgisayar,Elektronik,742.19,1,742.19,8836
12/08/2024,P011,Kalem,Kırtasiye,904.76,17,15380.92,9271
28/08/2023,P082,Defter,Kırtasiye,256.08,3,768.24,4160
03/12/2022,P011,Kalem,Kırtasiye,402.59,18,7246.62,4372
14/04/2024,P011,Kalem,Kırtasiye,18.35,5,91.75,1223
18/08/2023,P024,Bilgisayar,Elektronik,1151.99,5,5759.95,8536
17/04/2024,P097,Su Şişesi,Mutfak Ürünleri,986.3,6,7520.75939059395,5872
27/09/2023,P037,Fırın,Ev Aletleri,804.96,6,4829.76,7747
01/08/2024,P037,Fırın,Ev Aletleri,921.95,17,15673.15,6813
05/08/2024,P010,Çanta,Giyim,757.53,19,14393.07,6749
09/10/2023,P097,Su Şişesi,Mutfak Ürünleri,210.82,12,2529.84,8070
12/03/2023,P063,Klima,Elektronik,1244.19,11,13686.09,5029
20/04/2024,P063,Klima,Elektronik,110.02,2,220.04,6816
24/11/2022,P011,Kalem,Kırtasiye,1369.76,10,13697.6,4088
17/01/2024,P087,Kulaklık,Elektronik,564.1,6,7520.75939059395,8570
01/12/2022,P011,Kalem,Kırtasiye,947.41,7,6631.87,3593
18/08/2024,P032,Mouse,Elektronik,1140.35,5,5701.75,9473
28/05/2023,P097,Su Şişesi,Mutfak Ürünleri,445.52,3,1336.56,7894
30/05/2024,P018,Telefon,Elektronik,561.13,16,8978.08,2608
15/04/2024,P063,Klima,Elektronik,583.67,13,7520.75939059395,5056
16/03/2024,P087,Kulaklık,Elektronik,293.57,13,3816.41,9528
26/09/2023,P011,Kalem,Kırtasiye,425.11,18,7651.98,3049
30/12/2023,P018,Telefon,Elektronik,1379.75,7,9658.25,9062
03/05/2023,P024,Bilgisayar,Elektronik,1043.33,17,17736.61,5195
27/11/2022,P082,Defter,Kırtasiye,1266.61,13,16465.93,7999
09/10/2023,P087,Kulaklık,Elektronik,248.6,12,2983.2,4103
24/10/2024,P010,Çanta,Giyim,1482.66,8,11861.28,1387
01/10/2024,P010,Çanta,Giyim,641.84,10,7520.75939059395,9714
08/07/2024,P087,Kulaklık,Elektronik,925.87,2,1851.74,3928
21/10/2024,P087,Kulaklık,Elektronik,480.55,14,6727.7,8347
17/01/2024,P032,Mouse,Elektronik,867.79,16,13884.64,7376
30/09/2024,P063,Klima,Elektronik,423.71,15,6355.65,6837
10/02/2023,P011,Kalem,Kırtasiye,465.66,1,465.66,7860
21/11/2022,P018,Telefon,Elektronik,803.66,6,4821.96,3224
31/12/2022,P087,Kulaklık,Elektronik,1051.83,4,4207.32,8057
14/07/2023,P024,Bilgisayar,Elektronik,698.46,17,11873.82,7082
22/10/2023,P032,Mouse,Elektronik,858.1,2,1716.2,9519
06/03/2024,P018,Telefon,Elektronik,815.84,2,1631.68,9906
14/07/2024,P018,Telefon,Elektronik,1097.52,7,7520.75939059395,6011
27/10/2024,P010,Çanta,Giyim,77.99,13,1013.87,4561
14/06/2024,P011,Kalem,Kırtasiye,1257.07,17,21370.19,4262
29/05/2024,P024,Bilgisayar,Elektronik,1144.71,17,19460.07,7689
17/04/2024,P037,Fırın,Ev Aletleri,935.18,19,17768.42,4482
11/02/2024,P018,Telefon,Elektronik,1203.94,4,4815.76,8655
23/07/2023,P097,Su Şişesi,Mutfak Ürünleri,346.05,3,1038.15,4273
